y_true,y_pred,y_prob,auc
1,1,0.5603837,0.7902199074074074
0,1,0.61342806,0.7902199074074074
0,0,0.394683,0.7902199074074074
0,0,0.39027682,0.7902199074074074
0,0,0.40168482,0.7902199074074074
0,1,0.62796474,0.7902199074074074
1,1,0.60554636,0.7902199074074074
0,0,0.41392362,0.7902199074074074
1,1,0.62020135,0.7902199074074074
1,1,0.6005493,0.7902199074074074
0,0,0.42848498,0.7902199074074074
0,1,0.6458056,0.7902199074074074
0,1,0.6119714,0.7902199074074074
0,0,0.41213694,0.7902199074074074
1,1,0.58177316,0.7902199074074074
0,0,0.39543712,0.7902199074074074
0,1,0.6298206,0.7902199074074074
1,1,0.65061116,0.7902199074074074
1,1,0.5602271,0.7902199074074074
0,0,0.40254435,0.7902199074074074
1,1,0.58652776,0.7902199074074074
0,1,0.64088804,0.7902199074074074
1,1,0.5706888,0.7902199074074074
0,1,0.63424367,0.7902199074074074
1,1,0.56514937,0.7902199074074074
1,1,0.5742931,0.7902199074074074
0,0,0.38921613,0.7902199074074074
0,1,0.6241024,0.7902199074074074
1,1,0.60581183,0.7902199074074074
1,1,0.593574,0.7902199074074074
0,0,0.41130805,0.7902199074074074
0,1,0.63059384,0.7902199074074074
0,1,0.6128967,0.7902199074074074
1,1,0.57741284,0.7902199074074074
1,1,0.6133691,0.7902199074074074
0,0,0.42417303,0.7902199074074074
0,0,0.39855266,0.7902199074074074
0,1,0.60290956,0.7902199074074074
0,0,0.40439412,0.7902199074074074
0,1,0.6271858,0.7902199074074074
1,1,0.56325245,0.7902199074074074
1,1,0.60734516,0.7902199074074074
1,1,0.6246273,0.7902199074074074
1,1,0.62157965,0.7902199074074074
1,1,0.6268855,0.7902199074074074
1,1,0.59228957,0.7902199074074074
1,1,0.5946801,0.7902199074074074
0,0,0.27,0.7902199074074074
0,0,0.2701541,0.7902199074074074
1,1,0.6116457,0.7902199074074074
1,1,0.6217451,0.7902199074074074
1,1,0.5957181,0.7902199074074074
0,0,0.27012977,0.7902199074074074
1,1,0.595765,0.7902199074074074
0,0,0.27002525,0.7902199074074074
1,1,0.61092484,0.7902199074074074
0,0,0.26997185,0.7902199074074074
0,0,0.27011466,0.7902199074074074
0,0,0.27002433,0.7902199074074074
0,0,0.27010587,0.7902199074074074
0,0,0.27004558,0.7902199074074074
1,1,0.5947234,0.7902199074074074
1,1,0.5943034,0.7902199074074074
1,1,0.61474705,0.7902199074074074
1,1,0.6131873,0.7902199074074074
0,0,0.2700199,0.7902199074074074
1,1,0.593044,0.7902199074074074
1,1,0.61043406,0.7902199074074074
1,1,0.609609,0.7902199074074074
1,1,0.59469306,0.7902199074074074
0,0,0.2700447,0.7902199074074074
0,0,0.26998445,0.7902199074074074
0,0,0.2701497,0.7902199074074074
0,0,0.27008125,0.7902199074074074
1,1,0.626475,0.7902199074074074
0,0,0.27006453,0.7902199074074074
