wavenumber,benign_mean,benign_std,malignant_mean,malignant_std
1643.0023874020737,-9.552195534531315e-05,8.019935253095516e-05,-8.356487061286351e-05,6.67059756905633e-05
1641.0739808440903,-9.155434432525163e-05,6.790791222167253e-05,-7.969174648909907e-05,6.40306127480645e-05
1639.145574286107,-9.074637895450116e-05,6.172488336736273e-05,-8.029274867881017e-05,6.84501440920845e-05
1637.2171677281235,-9.82830887884853e-05,6.036102990887553e-05,-8.85090489454959e-05,7.90383309329443e-05
1635.28876117014,-9.666137734678491e-05,5.7254898307435786e-05,-8.888718040884836e-05,7.962732771230013e-05
1633.3603546121567,-8.188688903016784e-05,5.2325704483433094e-05,-7.970549116306482e-05,6.987773323424576e-05
1631.4319480541733,-6.819744902735284e-05,4.666431361808526e-05,-7.15134643216862e-05,6.427759049460705e-05
1629.5035414961899,-6.377344968235801e-05,4.0741518412406944e-05,-6.949191368468122e-05,6.125644351974967e-05
1627.5751349382065,-6.55117444750414e-05,3.7545938233409734e-05,-7.137512297614592e-05,6.20116149688794e-05
1625.646728380223,-5.347286898145769e-05,3.048646614863604e-05,-6.05174076886423e-05,5.096122378288391e-05
1623.7183218222397,-2.0240710160627355e-05,1.9422195477341133e-05,-3.122699100339028e-05,3.20838294226548e-05
1621.7899152642563,2.2634881135053403e-05,2.422525340718863e-05,5.5042940808694316e-06,4.509556830812922e-05
1619.8615087062728,5.362825805709576e-05,3.808690612248142e-05,3.376428353284291e-05,5.7503047332212126e-05
1617.9331021482894,7.182668332704058e-05,5.004810802977481e-05,5.300327274115408e-05,6.303707010599889e-05
1616.004695590306,8.112325980377234e-05,5.929506481060792e-05,6.568605537293238e-05,6.668482304602212e-05
1614.0762890323226,8.557990819344132e-05,6.648451164275175e-05,7.414171073138894e-05,7.041662391401175e-05
1612.1478824743392,8.685045371361956e-05,6.983119470862688e-05,7.848311887610217e-05,7.20936324600023e-05
1610.2194759163558,8.675971697946541e-05,6.944607504927581e-05,7.964382693762014e-05,7.003616358235977e-05
1608.2910693583724,8.080438361298222e-05,6.655152028600184e-05,7.472807460209546e-05,6.476472064569041e-05
1606.362662800389,6.358193405204391e-05,5.782940646533352e-05,5.934012482019573e-05,5.5462017769797446e-05
